Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:45,79,"['org.apache.commons.text.lookup.PropertiesStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.JavaUnicodeEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.NullStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DateStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.Base64DecoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.CodePointTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinResultsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.diff.ReplacementsFinderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.IntersectionResultTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.StringLookupFactoryTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaccardSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ConstantStringLookupBasicTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ScriptStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.FileStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.WordUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlEncoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringEscapeUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.XmlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CaseUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ConstantStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.FunctionStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrMatcherTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.Base64EncoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.SimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.OctalUnescaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaroWinklerSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.HammingDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.TextStringBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.JavaPlatformStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.FuzzyScoreTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharArrayTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.EnvironmentVariableStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.CsvTranslatorsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.AlphabetConverterTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlDecoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DefaultStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.AbstractStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CharacterPredicatesTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedEditDistanceFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.IntersectionSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.InterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringSubstitutorGetSetTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DnsStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.NumericEntityEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaroWinklerDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.BiStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.io.StringSubstitutorFilterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ResourceBundleStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.LookupTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaccardDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CompositeFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedSimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.LocalHostStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.StringMetricFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.diff.StringsComparatorTest#CroissantMutant_OD_RA_brittle()']",0
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:35,27,"['org.apache.commons.text.diff.ReplacementsFinderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.WordUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.JavaPlatformStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.FileStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaroWinklerDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ResourceBundleStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DateStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringEscapeUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.HammingDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.StringMetricFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.SimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.diff.StringsComparatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.NumericEntityEscaperTest#CroissantMutant_OD_RA_brittle()']",10
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:31,22,"['org.apache.commons.text.diff.ReplacementsFinderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.WordUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ResourceBundleStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DateStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringEscapeUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.HammingDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.StringMetricFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.SimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()']",20
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:33,16,"['org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DateStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringEscapeUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.HammingDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.StringMetricFromTest#CroissantMutant_OD_RA_brittle()']",30
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:31,7,"['org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.IntersectionResultTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()']",35
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:59,4,"['org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()']",40
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:33,4,"['org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()']",45
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:33,4,"['org.apache.commons.text.translate.SinglePassTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()']",50
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:51,78,"['org.apache.commons.text.lookup.PropertiesStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.NullStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DateStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.CodePointTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharArrayTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinResultsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.diff.ReplacementsFinderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.CsvTranslatorsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.AlphabetConverterTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlDecoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaccardSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ConstantStringLookupBasicTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlEncoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.XmlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.LocalHostStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ConstantStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.BiStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.io.StringSubstitutorFilterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherOnCharSequenceStringTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DefaultStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.AggregateTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.AbstractStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringMatcherFactoryTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.ExtendedMessageFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaroWinklerSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.TextStringBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.LookupTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.IntersectionSimilarityTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.JavaPlatformStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.InterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LongestCommonSubsequenceDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.StringMetricFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringSubstitutorGetSetTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DnsStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.NumericEntityEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.LevenshteinDetailedDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedLevenshteinDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CompositeFormatTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.IntersectionResultTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedSimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaroWinklerDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnpairedSurrogateRemoverTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ScriptStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.WordUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.FunctionStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrMatcherTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CharacterPredicatesTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.OctalUnescaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.FormattableUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.HammingDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.UrlStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.FuzzyScoreTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeUnescaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringEscapeUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.CaseUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedEditDistanceFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.JaccardDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.NumericEntityUnescaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.Base64DecoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.FileStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.SimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.diff.StringsComparatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.StringLookupFactoryTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.SystemPropertyStringLookupTest#CroissantMutant_OD_RA_brittle()']",0
commons-text,2e37b217d4c7b4aa291e94e3b7d02d3d62949af2,c3e634f752774226df353b6108bc3247affb8b01,BUILD SUCCESS,56:42,23,"['org.apache.commons.text.lookup.UrlDecoderStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ConstantStringLookupBasicTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.io.StringSubstitutorFilterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.DefaultStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineDistanceTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.TextStringBuilderAppendInsertTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.LookupTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.matcher.StringSubstitutorGetSetTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.CodePointTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.WordUtilsTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrTokenizerTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.EntityArraysTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.ScriptStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.OctalUnescaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StringSubstitutorWithInterpolatorStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.lookup.LocalHostStringLookupTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.AggregateTranslatorTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedEditDistanceFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.SimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.translate.UnicodeEscaperTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.StrBuilderTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.ParameterizedSimilarityScoreFromTest#CroissantMutant_OD_RA_brittle()', 'org.apache.commons.text.similarity.CosineSimilarityTest#CroissantMutant_OD_RA_brittle()']",10
