Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,5:20,6,"['org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,5:29,2,"['org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:14,2,"['org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:15,2,"['org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:16,2,"['org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:14,2,"['org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:19,20,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.TokenMatchersTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVParserTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:16,10,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:19,7,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVParserTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:21,4,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:15,4,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:20,3,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:13,3,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:24,2,"['org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:11,21,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVParserTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.TokenMatchersTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroisasntMutant_OD_SVD_Victim()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:12,8,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.TokenMatchersTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVParserTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:13,2,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:09,2,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:11,3,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:13,3,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()']",40
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:20,3,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()']",45
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:12,3,"['org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()']",50
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:13,22,"['org.apache.commons.csv.CSVFormatTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVParserTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.TokenMatchersTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv203Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv263Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv265Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv288Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv253Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv247Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVFormatPredefinedTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv248Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv271Test#CroisasntMutant_OD_SVD_Victim()']",0
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:20,10,"['org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv211Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv149Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv148Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv93Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()']",10
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:21,6,"['org.apache.commons.csv.ExtendedBufferedReaderTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv206Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.CSVRecordTest#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.issues.JiraCsv167Test#CroisasntMutant_OD_SVD_Victim()']",20
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:20,2,"['org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()']",30
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:15,2,"['org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()']",35
commons-csv,c51b595e345954a286d59ed4e37d5d6d319cc78a,de882e687b0934f56b599b8deb12280c1547a84e,BUILD SUCCESS,4:13,2,"['org.apache.commons.csv.issues.JiraCsv249Test#CroisasntMutant_OD_SVD_Victim()', 'org.apache.commons.csv.LexerTest#CroisasntMutant_OD_SVD_Victim()']",40
