Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,03:08,2,"['org.unix4j.codegen.CommandDefinitionDataLoaderTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.codegen.OptionSetDefinitionDataLoaderTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-tools,0
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,03:08,13,"['org.unix4j.util.RangeTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.line.SimpleLineTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.VersionStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.UnitsNumberStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.StringUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.ArgsUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.ScientificNumberStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.MonthStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.RelativePathBaseTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.FileUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.DecimalNumberStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.io.ReaderInputTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.line.SingleCharSequenceLineTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-core/unix4j-base,0
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,03:08,27,"['org.unix4j.unix.EchoTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CatTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SortFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SedTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.operation.LineOperationTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.FindFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.GrepTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.TailTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.UniqTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.WcFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.HeadTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.XargsTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.LsTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.WcTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.LsFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.builder.CommandBuilderTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.HeadFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CdTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.TailFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CutTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.xargs.ItemizerTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SortTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.FromFileOnClasspathTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.GrepFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.FromFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CommandChainingTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CatFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-core/unix4j-command,0
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,03:08,7,"['org.unix4j.unix.GrepPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SedPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SortPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CutPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.WcPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.TailPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.HeadPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-perf,0
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:59,1,['org.unix4j.codegen.OptionSetDefinitionDataLoaderTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator'],unix4j/unix4j-tools,10
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:59,6,"['org.unix4j.line.SimpleLineTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.UnitsNumberStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.ArgsUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.FileUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.DecimalNumberStringComparatorTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.StringUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-core/unix4j-base,10
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:59,11,"['org.unix4j.unix.UniqTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.WcFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.HeadTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.LsFileTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.FromFileOnClasspathTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.GrepTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.operation.LineOperationTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SortTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.EchoTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.xargs.ItemizerTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.CommandChainingTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-core/unix4j-command,10
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:59,3,"['org.unix4j.unix.CutPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.TailPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.unix.SedPerfTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-perf,10
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:58,0,[],unix4j/unix4j-tools,20
unix4j,062b0d5a0c7d91b630e4b4a3b561d3c817517356,232362a151fee6d29efdccfdaba7883f9fd44adf,BUILD SUCCESS,02:58,2,"['org.unix4j.io.ReaderInputTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.unix4j.util.FileUtilTest.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",unix4j/unix4j-core/unix4j-base,20
