Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,0,[],commons-math/commons-math-core,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,11,"['org.apache.commons.math4.neuralnet.sofm.KohonenUpdateActionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.util.QuasiSigmoidDecayFunctionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.oned.NeuronStringTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.LearningFactorFunctionFactoryTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.NetworkTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.twod.util.LocationFinderTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.MapRankingTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.twod.NeuronSquareMesh2DTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.NeighbourhoodSizeFunctionFactoryTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.NeuronTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.util.ExponentialDecayFunctionTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-neuralnet,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,1,['org.apache.commons.math4.transform.FastFourierTransformerTest.testTransformComplex'],commons-math/commons-math-transform,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,14,"['org.apache.commons.math4.legacy.exception.MaxCountExceededExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.TooManyEvaluationsExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NullArgumentExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.util.ExceptionContextTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.DimensionMismatchExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NonMonotonicSequenceExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NotPositiveExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NotStrictlyPositiveExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.util.LocalizedFormatsTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.OutOfRangeExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NotFiniteNumberExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.util.ArgUtilsTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.NumberIsTooSmallExceptionTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-legacy-exception,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,7,"['org.apache.commons.math4.legacy.core.IntegerSequenceTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.PairTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.dfp.DfpMathTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.MathArraysTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.jdkmath.AccurateMathTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.dfp.DfpDecTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.dfp.DfpTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-legacy-core,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,0,[],commons-math/commons-math-core,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,6,"['org.apache.commons.math4.neuralnet.sofm.KohonenUpdateActionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.util.QuasiSigmoidDecayFunctionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.LearningFactorFunctionFactoryTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.sofm.util.ExponentialDecayFunctionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.NetworkTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.neuralnet.oned.NeuronStringTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-neuralnet,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,0,[],commons-math/commons-math-transform,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,2,"['org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.exception.util.ArgUtilsTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-legacy-exception,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f51412e166945d9759b580e5e760c7ce33e78cee,BUILD SUCCESS,01:29,2,"['org.apache.commons.math4.legacy.core.jdkmath.AccurateMathTest.CroissantMutant_OD_DSD_brittle', 'org.apache.commons.math4.legacy.core.dfp.DfpMathTest.CroissantMutant_OD_DSD_brittle']",commons-math/commons-math-legacy-core,10
