Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:33,2,"['org.apache.commons.math4.neuralnet.sofm.util.ExponentialDecayFunctionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.oned.NeuronStringTest.CroisasntMutant_OD_IVD_Victim']",commons-math/commons-math-neuralnet,40
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:33,1,['org.apache.commons.math4.transform.FastFourierTransformerTest.testTransformComplex'],commons-math/commons-math-transform,40
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:33,1,['org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroisasntMutant_OD_IVD_Victim'],commons-math/commons-math-legacy-exception,40
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:33,0,[],commons-math/commons-math-legacy-core,40
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:32,0,[],commons-math/commons-math-core,45
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:32,1,['org.apache.commons.math4.neuralnet.sofm.util.ExponentialDecayFunctionTest.CroisasntMutant_OD_IVD_Victim'],commons-math/commons-math-neuralnet,45
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:32,1,['org.apache.commons.math4.transform.FastFourierTransformerTest.testTransformComplex'],commons-math/commons-math-transform,45
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:32,1,['org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroisasntMutant_OD_IVD_Victim'],commons-math/commons-math-legacy-exception,45
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:32,0,[],commons-math/commons-math-legacy-core,45
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:31,0,[],commons-math/commons-math-core,50
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:31,0,[],commons-math/commons-math-neuralnet,50
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:31,1,['org.apache.commons.math4.transform.FastFourierTransformerTest.testTransformComplex'],commons-math/commons-math-transform,50
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:31,1,['org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroisasntMutant_OD_IVD_Victim'],commons-math/commons-math-legacy-exception,50
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:31,0,[],commons-math/commons-math-legacy-core,50
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:30,0,[],commons-math/commons-math-core,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:30,11,"['org.apache.commons.math4.neuralnet.MapRankingTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.sofm.NeighbourhoodSizeFunctionFactoryTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.NeuronTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.sofm.util.ExponentialDecayFunctionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.NetworkTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.twod.NeuronSquareMesh2DTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.twod.util.LocationFinderTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.sofm.LearningFactorFunctionFactoryTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.sofm.util.QuasiSigmoidDecayFunctionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.sofm.KohonenUpdateActionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.oned.NeuronStringTest.CroisasntMutant_OD_IVD_Victim']",commons-math/commons-math-neuralnet,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:30,2,"['org.apache.commons.math4.transform.FastFourierTransformerTest.testStandardTransformReal', 'org.apache.commons.math4.transform.FastFourierTransformerTest.testTransformComplex']",commons-math/commons-math-transform,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:30,14,"['org.apache.commons.math4.legacy.exception.util.ArgUtilsTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.util.LocalizedFormatsTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.DimensionMismatchExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NullArgumentExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NotFiniteNumberExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.TooManyEvaluationsExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.OutOfRangeExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NonMonotonicSequenceExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NotPositiveExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NumberIsTooLargeExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NotStrictlyPositiveExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.MaxCountExceededExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.NumberIsTooSmallExceptionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.exception.util.ExceptionContextTest.CroisasntMutant_OD_IVD_Victim']",commons-math/commons-math-legacy-exception,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:30,7,"['org.apache.commons.math4.legacy.core.dfp.DfpDecTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.dfp.DfpTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.jdkmath.AccurateMathTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.dfp.DfpMathTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.PairTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.IntegerSequenceTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.legacy.core.MathArraysTest.CroisasntMutant_OD_IVD_Victim']",commons-math/commons-math-legacy-core,0
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:29,0,[],commons-math/commons-math-core,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:29,4,"['org.apache.commons.math4.neuralnet.sofm.KohonenUpdateActionTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.NetworkTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.twod.NeuronSquareMesh2DTest.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.math4.neuralnet.MapRankingTest.CroisasntMutant_OD_IVD_Victim']",commons-math/commons-math-neuralnet,10
commons-math,889d27b5d7b23eaf1ee984e93b892b5128afc454,f438f10e834986246746d048dcc464e0d4cb922c,BUILD SUCCESS,01:29,1,['org.apache.commons.math4.transform.FastFourierTransformerTest.testStandardTransformReal'],commons-math/commons-math-transform,10
