Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:06,15,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.PositionTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.SentenceFactoryTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle']",marine-api,20
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,12,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle']",marine-api,30
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:20,12,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle']",marine-api,35
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,8,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle']",marine-api,40
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,7,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle']",marine-api,45
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,5,"['net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle']",marine-api,50
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,74,"['net.sf.marineapi.ais.util.SpeedOverGroundTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.TimeTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.provider.HeadingProviderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.PositionTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.SentenceFactoryTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.WaypointTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MWDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.STALKTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.WPLTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RTETest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.APBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceValidatorTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.io.SentenceReaderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage05Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GBSTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MWVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MTWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.TalkerIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.provider.PositionProviderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HTDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MHUTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.UBXTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportBParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.PositionParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DBTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VHWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DPTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ChecksumTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ROTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GNSTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage04Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ZDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.XTETest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.XDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RSATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage21ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Latitude27Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VLWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MMBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.SentenceParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage24ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RMCTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageFactoryTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RSDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.DateTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GGATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GLLTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ublox.parser.UBXMessage00Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle']",marine-api,0
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,20,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VHWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RMCTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.io.SentenceReaderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportBParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,10
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:04,10,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RMCTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,20
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:04,8,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,30
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:04,8,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,35
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:04,8,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,40
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:03,8,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,45
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:47,8,"['net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VTGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle']",marine-api,50
marine-api,af5edf8b53cf3680a39f6ac957503958b66048c2,68dca2d86a6389ef6c57fe5b2fc4f7bdbb984e90,BUILD SUCCESS,23:04,76,"['net.sf.marineapi.ais.util.SpeedOverGroundTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage09ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.TimeTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.provider.HeadingProviderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DPTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.PositionTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GLLTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ChecksumTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage24ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RMCTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.WaypointTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDGTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ublox.parser.UBXMessage00Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GNSTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage04Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RPMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.WPLTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MTATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage27ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RTETest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.APBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.io.SentenceReaderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RMBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ublox.parser.UBXMessage03Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage05Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.XDRTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Latitude27Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RSDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.OSDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GBSTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MWVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MTWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.util.Longitude28Test.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.TalkerIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VLWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MMBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DBTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VHWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLLTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.SentenceFactoryTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ROTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MWDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.STALKTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceIdTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.ZDATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageFactoryTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDOTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.provider.PositionProviderTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HTDTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportBParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VBWTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.SentenceParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.VDMTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessageParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.sentence.SentenceValidatorTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.XTETest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.RSATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.util.DateTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.HDTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.UBXTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.PositionParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISMessage21ParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TLBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GSVTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.ais.parser.AISPositionReportParserTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.TXTTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.DTBTest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.GGATest.CroissantMutant_OD_RA_brittle', 'net.sf.marineapi.nmea.parser.MHUTest.CroissantMutant_OD_RA_brittle']",marine-api,0
