Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:59,7,"['org.jsoup.nodes.AttributesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_DSD_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:55,6,"['org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_DSD_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:01,5,"['org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:01,5,"['org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:56,5,"['org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()']",45
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:59,5,"['org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()']",50
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:03,30,"['org.jsoup.nodes.EntitiesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.CommentTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokenQueueTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.FuzzFixesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.NodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.XmlTreeBuilderTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TagTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()']",0
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:01,11,"['org.jsoup.select.QueryParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.EntitiesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()']",10
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:58,5,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:02,4,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:04,4,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:00,4,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:07,4,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()']",45
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:08,4,"['org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()']",50
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:07,30,"['org.jsoup.parser.TokeniserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TagTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.NodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.XmlTreeBuilderTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.FuzzFixesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.EntitiesTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokenQueueTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.CommentTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_DSD_brittle()']",0
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:57,15,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.CommentTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokenQueueTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_DSD_brittle()']",10
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:01,4,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_DSD_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:58,3,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:00,3,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,10:57,3,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,b0d0fa6e695e120c0fb7854b5a5c4525639014fb,BUILD SUCCESS,11:04,3,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_DSD_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_DSD_brittle()']",45
