Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,cleanerCounts
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:53,8,"['org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_RA_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:58,6,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_RA_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,08:00,5,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:53,5,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,08:01,5,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()']",45
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:54,5,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()']",50
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,08:00,31,"['org.jsoup.integration.FuzzFixesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.FormElementTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.CommentTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokenQueueTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.XmlTreeBuilderTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TagTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.EntitiesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlTreeBuilderStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_RA_brittle()']",0
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:53,11,"['org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()']",10
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:55,5,"['org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:56,2,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:58,2,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:50,2,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:52,2,"['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()']",45
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:54,1,['org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()'],50
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:59,31,"['org.jsoup.parser.XmlTreeBuilderTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TagTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.EntitiesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.CommentTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.FormElementTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.CharacterReaderTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.CleanerTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.CssTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.safety.SafelistTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.FuzzFixesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.SafelistExtensionTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokenQueueTest#CroissantMutant_OD_RA_brittle()']",0
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:55,19,"['org.jsoup.nodes.TextNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.helper.ValidateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.internal.StringUtilTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.SelectorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TagTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.FuzzFixesTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.ElementsTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.DocumentTypeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()']",10
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:53,10,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.TraversorTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.select.QueryParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()']",20
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:56,7,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.LeafNodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()']",30
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:53,7,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()']",35
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:55,7,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()']",40
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:51,7,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()']",45
jsoup,eabfcdd25d3d1604baaa78d585ea671540a45adf,632d1f02f42b467b46232078319ee40be3615101,BUILD SUCCESS,07:54,7,"['org.jsoup.nodes.NodeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.HtmlParserTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.TokeniserStateTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.integration.ConnectTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.AttributeParseTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.nodes.AttributeTest#CroissantMutant_OD_RA_brittle()', 'org.jsoup.parser.ParserTest#CroissantMutant_OD_RA_brittle()']",50
