Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:12,15,"['org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.tools.DSCToolsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.DataURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.fonts.GlyphsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.ImageTypeTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ResolutionTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePreloaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageConverterG2D2BitmapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePipelineTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,20
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:12,9,"['org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.tools.DSCToolsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.fonts.GlyphsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,30
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:14,8,"['org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.fonts.GlyphsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,35
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:12,8,"['org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.fonts.GlyphsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,40
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,08:05,4,"['org.apache.xmlgraphics.java2d.GraphicContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,45
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,4,"['org.apache.xmlgraphics.java2d.GraphicContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,50
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:12,57,"['org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.CorruptImagesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageFlavorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.ImageEncodingHelperTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.PipelineFactoryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePreloaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.ps.PSGraphics2DTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PreloaderJPEGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85InputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageLoaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorWithAlternativesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageConverterG2D2BitmapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePipelineTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85OutputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DoubleFormatUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.imageio.ImageIOTIFFImageWriterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.DataURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PNGFileTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderImageIOTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.ImageInfoTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ImageWriterRegistryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.cache.ImageCacheTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.CommonURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.PNGEncoderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithoutTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.PSPageDeviceDictionaryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.PSEscapeTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.ImageTypeTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.URIResolverAdapterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCCommentBoundingBoxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCValueParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.CodecResourcesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.ListenerTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.ColorProfileUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.cache.DefaultExpirationPolicyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.xmp.XMPParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorConverterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DateFormatUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.UnitConvTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageSessionContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.XmlSourceUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.TIFFImageEncoderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ResolutionTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderFactoryPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.PenaltyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.NamedColorProfileParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.SubInputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.ClasspathResourceTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,0
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,18,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageLoaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageConverterG2D2BitmapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePipelineTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85OutputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.ColorProfileUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorConverterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85InputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.XmlSourceUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderFactoryPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.CodecResourcesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithoutTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.ClasspathResourceTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DoubleFormatUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCValueParserTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,10
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:11,11,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85OutputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.ColorProfileUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85InputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.CodecResourcesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithoutTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageLoaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCValueParserTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,20
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,6,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PreloaderJPEGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderImageIOTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,30
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,4,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,35
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,3,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,40
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,2,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,45
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:21,2,"['org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,50
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:13,60,"['org.apache.xmlgraphics.image.loader.cache.ImageCacheTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderFactoryPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageFlavorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.PipelineFactoryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.CodecResourcesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.TempResourceURIGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.fonts.GlyphsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.tools.DSCToolsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.cache.DefaultExpirationPolicyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.NamedColorProfileParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PreloaderJPEGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.SubInputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85InputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.TIFFImageEncoderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorWithAlternativesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.xmp.XMPParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.ClasspathResourceTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DateFormatUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.DataURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderImageIOTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.xmp.XMPPropertyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCValueParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ResolutionTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ImageWriterRegistryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.CommonURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.ImageEncodingHelperTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.PenaltyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePreloaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.ListenerTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithoutTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.profile.ColorProfileUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageLoaderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageConverterG2D2BitmapTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePipelineTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.imageio.ImageIOTIFFImageWriterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.XmlSourceUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.URIResolverAdapterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.ImageInfoTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.CorruptImagesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.png.PNGEncoderTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.ps.PSGraphics2DTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.NamedColorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.PSEscapeTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorConverterTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.DSCParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.UnitConvTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageSessionContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PNGFileTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.PSPageDeviceDictionaryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.codec.tiff.ImageTypeTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85OutputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DoubleFormatUtilTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,0
xmlgraphics-commons,edcf3caa75279c26e90a4445d4e3781687656f38,cfafc2c24879e2140b475a922a9a6f97f500b6df,BUILD SUCCESS,07:14,24,"['org.apache.xmlgraphics.util.io.Base64TestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.PipelineFactoryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.SubInputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.ClasspathResourceTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.DateFormatUtilTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.writer.ImageWriterRegistryTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.FormGeneratorTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.xmp.XMPParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.uri.DataURIResolverTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.events.DSCValueParserTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.ps.PSGraphics2DTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.color.ColorWithAlternativesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.UnitConvTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImageSessionContextTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.xmp.XMPPropertyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderFactoryPNGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.java2d.GraphicsConfigurationWithoutTransparencyTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.PreloaderJPEGTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.ImagePipelineTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.CorruptImagesTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.ps.dsc.tools.DSCToolsTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.image.loader.impl.ImageLoaderRawCCITTFaxTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.util.io.ASCII85OutputStreamTestCase.CroissantMutant_OD_RA_brittle', 'org.apache.xmlgraphics.io.XmlSourceUtilTestCase.CroissantMutant_OD_RA_brittle']",xmlgraphics-commons,10
