Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,3,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,59.904,3,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:03,2,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:00,2,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,3,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.UniVsBiDijkstraBenchmarkTestCase.performUnidirectionalDijkstra']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,2,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:03,21,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.TarjanTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.PrimTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.model.GraphSerializationTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:04,10,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.KruskalTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,10
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,4,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:02,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:03,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,59.828,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:01,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:00,21,"['org.apache.commons.graph.shortestpath.FloydWarshallTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.PrimTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.model.GraphSerializationTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.TarjanTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,d7938e0f31c239d6d53ee854a43903f3fd3c314c,BUILD SUCCESS,01:00,9,"['org.apache.commons.graph.elo.EloTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.export.ExportTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.visit.VisitTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroissantMutant_OD_TPFD_b_VictimtestMockitoMockitoMutationOperator']",commons-graph,10
