Project,Sha,Timestamp,Build Result,Total Time,Num of Test detected,Tests Detected,module,cleanerCounts
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,54.627,5,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.visit.VisitTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,56.347,4,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,57.826,3,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.611,3,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,54.822,3,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.748,2,"['org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,56.340,21,"['org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.elo.EloTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.visit.VisitTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.PrimTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.KruskalTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.963,7,"['org.apache.commons.graph.spanning.BoruvkaTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.KruskalTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,10
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,56.228,3,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,57.575,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.649,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.169,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,57.697,2,"['org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,56.023,1,['org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim'],commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.231,19,"['org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.elo.EloTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.PrimTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.visit.VisitTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.KruskalTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,57.374,8,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.visit.VisitTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,10
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.867,6,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,54.171,6,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,30
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.249,5,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,35
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,57.556,5,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,40
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.830,5,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,45
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,56.604,5,"['org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,50
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,55.116,21,"['org.apache.commons.graph.scc.CheriyanMehlhornGabowTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.builder.GraphBuilderTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.PrimTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.DijkstraTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.FordFulkersonTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.BoruvkaTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.flow.EdmondsKarpTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.KosarajuSharirTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.collections.FibonacciHeapTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.BellmannFordTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.ReverseDeleteTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.spanning.KruskalTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.coloring.GraphColoringBackTrackingTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.visit.VisitTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.shortestpath.AStarTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.elo.EloTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,0
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,52.542,6,"['org.apache.commons.graph.flow.FordFulkersonTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.model.BaseMutableGraphTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.elo.EloTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,10
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,51.615,3,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,20
commons-graph,db222498dd0e6160fb103b5d85b9567b03f15819,263c697d35195a98bd4778bcd137f5dee5b8f616,BUILD SUCCESS,52.617,3,"['org.apache.commons.graph.connectivity.FindConnectedComponetTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.scc.TarjanTestCase.CroisasntMutant_OD_IVD_Victim', 'org.apache.commons.graph.export.ExportTestCase.CroisasntMutant_OD_IVD_Victim']",commons-graph,30
